player,exception_score,exception_routes,best_preliminary_single_season,best_preliminary_three_year_window,best_legacy_window,included
Pervis Ellison,41.65,elite individual peak,57.1,51.9,52.8,False
Chris Duhon,41.6,elite individual peak,53.2,51.4,53.0,False
Andre Roberson,41.58,elite individual peak,46.5,44.7,46.4,False
Bruce Brown,41.58,elite individual peak,50.1,49.7,51.7,False
Chris Boucher,41.56,elite individual peak,56.3,53.1,54.0,False
Jamario Moon,41.55,elite individual peak,55.0,51.5,52.8,False
LaMelo Ball,41.52,elite individual peak,63.2,55.5,56.5,False
Anthony Johnson,41.51,elite individual peak,55.0,51.6,53.9,False
Nick Collison,41.5,elite individual peak,51.3,48.1,50.3,False
Buddy Hield,41.46,elite individual peak,50.7,46.9,47.6,False
Ian Mahinmi,41.44,elite individual peak,56.3,50.2,51.6,False
Steve Blake,41.43,elite individual peak,56.4,51.1,52.1,False
Anthony Parker,41.43,elite individual peak,49.7,47.1,48.3,False
Lance Stephenson,41.42,elite individual peak,57.5,48.1,50.1,False
Channing Frye,41.4,elite individual peak,51.2,47.1,48.4,False
Kevin Gamble,41.34,elite individual peak,52.3,51.0,53.0,False
Patty Mills,41.31,elite individual peak,54.0,48.8,50.6,False
Johnny Newman,41.29,elite individual peak,51.7,46.9,48.5,False
Ed Davis,41.28,elite individual peak,62.1,49.6,51.3,False
Tim Thomas,41.24,elite individual peak,52.0,47.3,49.0,False
Jalen Suggs,41.16,elite individual peak,52.4,49.6,51.5,False
Willie Cauley-Stein,41.12,elite individual peak,53.4,50.2,50.9,False
Kosta Koufos,41.12,elite individual peak,55.4,53.8,55.5,False
James Edwards,41.11,elite individual peak,52.9,48.9,50.1,False
Matt Barnes,41.1,elite individual peak,52.2,49.2,51.1,False
Gorgui Dieng,41.08,elite individual peak,51.2,50.0,50.7,False
Nikola Mirotic,41.08,elite individual peak,55.3,51.1,53.3,False
Nazr Mohammed,41.08,elite individual peak,54.7,53.0,55.4,False
Nate Robinson,41.07,elite individual peak,60.1,48.7,50.7,False
Steve Hawes,41.06,elite individual peak,55.4,51.2,52.8,False
James Johnson,41.06,elite individual peak,54.9,49.0,50.0,False
Calvin Murphy,41.05,elite individual peak,55.1,49.5,51.8,False
Rex Chapman,41.05,elite individual peak,45.6,44.5,45.8,False
Seth Curry,41.04,elite individual peak,47.7,47.2,48.7,False
Mark Olberding,41.0,elite individual peak,51.5,48.1,50.1,False
Norman Powell,41.0,elite individual peak,51.6,48.4,50.2,False
Charles Jones,41.0,elite individual peak,52.7,50.9,52.5,False
Timofey Mozgov,40.96,elite individual peak,56.7,50.6,52.8,False
LaPhonso Ellis,40.96,elite individual peak,57.7,41.8,42.5,False
Josh Richardson,40.95,elite individual peak,51.5,46.3,47.4,False
Jared Sullinger,40.93,elite individual peak,56.9,53.1,54.5,False
Purvis Short,40.9,elite individual peak,50.6,49.0,50.2,False
Kris Humphries,40.9,elite individual peak,55.9,52.5,53.5,False
Speedy Claxton,40.89,elite individual peak,51.2,49.8,50.3,False
